t,half,imm,connect,dst,src1,src0,mask,optype
0,00,0,00,00000000,00000000,00000000,0,0000
1,00,0,00,00000000,00000000,00000000,0,0000
2,00,0,00,00000000,00000000,00000000,0,0000
3,00,0,01,00000000,00000000,00000000,0,1100
4,00,0,01,00000001,00000000,00000001,0,1100
5,00,0,01,00000111,00000000,00001000,0,1100
6,00,0,01,00001000,00000000,00001001,0,1100
7,00,0,01,00001110,00000000,00010000,0,1100
8,00,0,01,00001111,00000000,00010001,0,1100
9,00,0,01,00010101,00000000,00011000,0,1100
10,00,0,01,00010110,00000000,00011001,0,1100
11,00,0,01,00011100,00000000,00100000,0,1100
12,00,0,01,00011101,00000000,00100001,0,1100
13,00,0,01,00100011,00000000,00101000,0,1100
14,00,0,01,00100100,00000000,00101001,0,1100
15,00,0,01,00101010,00000000,00110000,0,1100
16,00,0,01,00101011,00000000,00110001,0,1100
17,00,0,01,00110001,00000000,00111000,0,1100
18,00,0,01,00110010,00000000,00111001,0,1100
19,00,0,01,00111000,00000000,01000000,0,1100
20,00,0,01,00111001,00000000,01000001,0,1100
21,00,0,01,00111111,00000000,01001000,0,1100
22,00,0,01,01000000,00000000,01001001,0,1100
23,00,0,01,01000110,00000000,01010000,0,1100
24,00,0,01,01000111,00000000,01010001,0,1100
25,00,0,01,01001101,00000000,01011000,0,1100
26,00,0,01,01001110,00000000,01011001,0,1100
27,00,0,01,01010100,00000000,01100000,0,1100
28,00,0,01,01010101,00000000,01100001,0,1100
29,00,0,01,01011011,00000000,01101000,0,1100
30,00,0,01,01011100,00000000,01101001,0,1100
31,00,0,01,01100010,00000000,01110000,0,1100
32,00,0,01,01100011,00000000,01110001,0,1100
33,00,0,01,01101001,00000000,01111000,0,1100
34,00,0,01,01101010,00000000,01111001,0,1100
35,00,0,01,01110000,00000000,10000000,0,1100
36,00,0,01,01110001,00000000,10000001,0,1100
37,00,0,01,01110111,00000000,10001000,0,1100
38,00,0,01,01111000,00000000,10001001,0,1100
39,00,0,01,01111110,00000000,10010000,0,1100
40,00,0,01,01111111,00000000,10010001,0,1100
41,00,0,01,10000101,00000000,10011000,0,1100
42,00,0,01,10000110,00000000,10011001,0,1100
43,00,0,01,10001100,00000000,10100000,0,1100
44,00,0,01,10001101,00000000,10100001,0,1100
45,00,0,01,10010011,00000000,10101000,0,1100
46,00,0,01,10010100,00000000,10101001,0,1100
47,00,0,01,10011010,00000000,10110000,0,1100
48,00,0,01,10011011,00000000,10110001,0,1100
49,00,0,01,10100001,00000000,10111000,0,1100
50,00,0,01,10100010,00000000,10111001,0,1100
51,00,0,01,10101000,00000000,11000000,0,1100
52,00,0,01,10101001,00000000,11000001,0,1100
53,00,0,01,10101111,00000000,11001000,0,1100
54,00,0,01,10110000,00000000,11001001,0,1100
55,00,0,01,10110110,00000000,11010000,0,1100
56,00,0,01,10110111,00000000,11010001,0,1100
57,00,0,01,10111101,00000000,11011000,0,1100
58,00,0,01,10111110,00000000,11011001,0,1100
59,00,0,01,11000100,00000000,11100000,0,1100
60,00,0,01,11000101,00000000,11100001,0,1100
61,00,0,01,11001011,00000000,11101000,0,1100
62,00,0,01,11001100,00000000,11101001,0,1100
63,00,0,01,11010010,00000000,11110000,0,1100
64,00,0,01,11010011,00000000,11110001,0,1100
65,00,0,01,11011001,00000000,11111000,0,1100
66,00,0,01,11011010,00000000,11111001,0,1100
67,00,0,00,00000000,00000000,00000000,0,0000
68,00,0,00,00000000,00000000,00000000,0,0000
69,00,0,00,00000000,00000000,00000000,0,0000
70,00,0,00,00000000,00000000,00000000,0,0000
71,00,0,00,00000000,00000000,00000000,0,0000
72,00,0,10,00000010,00000010,00000000,0,0011
73,00,0,10,00000100,00000010,00000001,0,0011
74,00,0,10,00010010,00010000,00010000,0,0011
75,00,0,10,00010100,00010000,00010001,0,0011
76,00,0,10,00011010,00010111,00011000,0,0011
77,00,0,10,00001010,00001001,00001000,0,0011
78,00,0,10,00001100,00001001,00001001,0,0011
79,00,0,10,00011100,00010111,00011001,0,0011
80,00,0,10,00100010,00011110,00100000,0,0011
81,00,0,10,00100100,00011110,00100001,0,0011
82,00,0,10,00101010,00100101,00101000,0,0011
