t,half,imm,connect,dst,src1,src0,mask,optype
0,00,0,00,00000000,00000000,00000000,0,0000
1,00,0,00,00000000,00000000,00000000,0,0000
2,00,0,00,00000000,00000000,00000000,0,0000
3,00,0,00,00000000,00000000,00000000,0,0000
4,00,0,00,00000000,00000000,00000000,0,0000
5,00,0,00,00000000,00000000,00000000,0,0000
6,00,0,00,00000000,00000000,00000000,0,0000
7,00,0,00,00000000,00000000,00000000,0,0000
8,00,0,00,00000000,00000000,00000000,0,0000
9,00,0,01,00000000,00000000,00000110,0,1011
10,00,0,01,00000001,00000000,00000111,0,1011
11,00,0,01,00000010,00000000,00001000,0,1011
12,00,0,01,00010000,00000000,00011000,0,1011
13,00,0,01,00010001,00000000,00011001,0,1011
14,00,0,01,00010010,00000000,00011010,0,1011
15,00,0,01,00100000,00000000,00101010,0,1011
16,00,0,01,00100001,00000000,00101011,0,1011
17,00,0,01,00100010,00000000,00101100,0,1011
18,00,0,01,00110000,00000000,00111100,0,1011
19,00,0,01,00110001,00000000,00111101,0,1011
20,00,0,01,00110010,00000000,00111110,0,1011
21,00,0,01,01000000,00000000,01001110,0,1011
22,00,0,01,01000001,00000000,01001111,0,1011
23,00,0,01,01000010,00000000,01010000,0,1011
24,00,0,01,01010000,00000000,01100000,0,1011
25,00,0,01,01010001,00000000,01100001,0,1011
26,00,0,01,01010010,00000000,01100010,0,1011
27,00,0,01,01100000,00000000,01110010,0,1011
28,00,0,01,01100001,00000000,01110011,0,1011
29,00,0,01,01100010,00000000,01110100,0,1011
30,00,0,01,01110000,00000000,10000100,0,1011
31,00,0,01,01110001,00000000,10000101,0,1011
32,00,0,01,01110010,00000000,10000110,0,1011
33,00,0,01,10000000,00000000,10010110,0,1011
34,00,0,01,10000001,00000000,10010111,0,1011
35,00,0,01,10000010,00000000,10011000,0,1011
36,00,0,01,10010000,00000000,10101000,0,1011
37,00,0,01,10010001,00000000,10101001,0,1011
38,00,0,01,10010010,00000000,10101010,0,1011
39,00,0,01,10100000,00000000,10111010,0,1011
40,00,0,01,10100001,00000000,10111011,0,1011
41,00,0,01,10100010,00000000,10111100,0,1011
42,00,0,01,10110000,00000000,11001100,0,1011
43,00,0,01,10110001,00000000,11001101,0,1011
44,00,0,10,00001001,00000101,00000110,0,0011
45,00,0,10,00001011,00000101,00000111,0,0011
46,00,0,10,00001101,00000101,00001000,0,0011
47,00,0,10,00011011,00010101,00011000,0,0011
48,00,0,10,00011101,00010101,00011001,0,0011
49,00,0,10,00011111,00010101,00011010,0,0011
50,00,0,10,00101101,00100101,00101010,0,0011
51,00,0,01,00001010,00000000,00001001,0,1110
52,00,0,01,00001100,00000000,00001011,0,1110
53,00,0,01,00001110,00000000,00001101,0,1110
54,00,0,01,00011100,00000000,00011011,0,1110
55,00,0,01,00011110,00000000,00011101,0,1110
56,00,0,01,00100000,00000000,00011111,0,1110
57,00,0,01,00101110,00000000,00101101,0,1110
58,00,0,01,00000110,00000000,00001010,0,1101
59,00,0,01,00000111,00000000,00001100,0,1101
60,00,0,01,00001000,00000000,00001110,0,1101
61,00,0,01,00010110,00000000,00011100,0,1101
62,00,0,01,00010111,00000000,00011110,0,1101
63,00,0,01,00011000,00000000,00100000,0,1101
64,00,0,01,00100110,00000000,00101110,0,1101
65,00,0,10,00101111,00100101,00101011,0,0011
66,00,0,10,00110001,00100101,00101100,0,0011
67,00,0,10,00111111,00110101,00111100,0,0011
68,00,0,10,01000001,00110101,00111101,0,0011
69,00,0,10,01000011,00110101,00111110,0,0011
70,00,0,10,01010001,01000101,01001110,0,0011
71,00,0,10,01010011,01000101,01001111,0,0011
72,00,0,01,00110000,00000000,00101111,0,1110
73,00,0,01,00110010,00000000,00110001,0,1110
74,00,0,01,01000000,00000000,00111111,0,1110
75,00,0,01,01000010,00000000,01000001,0,1110
76,00,0,01,01000100,00000000,01000011,0,1110
77,00,0,01,01010010,00000000,01010001,0,1110
78,00,0,01,01010100,00000000,01010011,0,1110
79,00,0,01,00100111,00000000,00110000,0,1101
80,00,0,01,00101000,00000000,00110010,0,1101
81,00,0,01,00110110,00000000,01000000,0,1101
82,00,0,01,00110111,00000000,01000010,0,1101
