t,imm,connect,dst,src1,src0,mask,optype
0,0,0,00000000,00000000,00000000,0,0000
1,0,0,00000000,00000000,00000000,0,0000
2,0,0,00000000,00000000,00000000,0,0000
3,0,0,00000000,00000000,00000000,0,0000
4,0,0,00000000,00000000,00000000,0,0000
5,0,0,00000000,00000000,00000000,0,0000
6,0,0,00000000,00000000,00000000,0,0000
7,0,0,00000000,00000000,00000000,0,0000
8,0,0,00000000,00000000,00000000,0,0000
9,0,0,00000000,00000000,00000000,0,0000
10,0,0,00000000,00000000,00000000,0,0000
11,0,0,00000000,00000000,00000000,0,0000
12,0,0,00000000,00000000,00000000,0,0000
13,0,0,00000000,00000000,00000000,0,0000
14,0,0,00000000,00000000,00000000,0,0000
15,0,0,00000000,00000000,00000000,0,0000
16,0,0,00000000,00000000,00000000,0,0000
17,0,0,00000000,00000000,00000000,0,0000
18,0,0,00000000,00000000,00000000,0,0000
19,0,0,00000000,00000000,00000000,0,0000
20,0,0,00000000,00000000,00000000,0,0000
21,0,0,00000000,00000000,00000000,0,0000
22,0,0,00000011,00000001,00000000,0,0010
23,0,0,00000000,00000000,00000000,0,0000
24,0,0,00000000,00000000,00000000,0,0000
25,0,0,00010011,00010001,00010000,0,0010
26,0,0,00000000,00000000,00000000,0,0000
27,0,0,00000000,00000000,00000000,0,0000
28,0,0,00100011,00100001,00100000,0,0010
29,0,0,00000000,00000000,00000000,0,0000
30,0,0,00000100,00000010,00000011,0,0010
31,0,0,00110011,00110001,00110000,0,0010
32,0,0,00000000,00000000,00000000,0,0000
33,0,0,00010100,00010010,00010011,0,0010
34,0,0,01000011,01000001,01000000,0,0010
35,0,0,00000000,00000000,00000000,0,0000
36,0,0,00100100,00100010,00100011,0,0010
37,1,0,00000101,00000110,00000100,0,0001
38,0,0,01010011,01010001,01010000,0,0010
39,0,0,00110100,00110010,00110011,0,0010
40,1,0,00010101,00000110,00010100,0,0001
41,0,0,01100011,01100001,01100000,0,0010
42,0,0,01000100,01000010,01000011,0,0010
43,1,0,00100101,00000110,00100100,0,0001
44,0,0,00000000,00000000,00000000,0,0000
45,0,0,01010100,01010010,01010011,0,0010
46,1,0,00110101,00000110,00110100,0,0001
47,0,0,00000000,00000000,00000000,0,0000
48,0,0,01100100,01100010,01100011,0,0010
49,1,0,01000101,00000110,01000100,0,0001
50,0,0,00000000,00000000,00000000,0,0000
51,0,0,01110011,01110001,01110000,0,0010
52,1,0,01010101,00000110,01010100,0,0001
53,0,0,10000011,10000001,10000000,0,0010
54,0,0,10010011,10010001,10010000,0,0010
55,1,0,01100101,00000110,01100100,0,0001
56,0,0,10100011,10100001,10100000,0,0010
57,0,0,10110011,10110001,10110000,0,0010
58,0,0,01110100,01110010,01110011,0,0010
59,0,0,00000000,00000000,00000000,0,0000
60,0,0,10000100,10000010,10000011,0,0010
61,0,0,10010100,10010010,10010011,0,0010
62,0,0,00000000,00000000,00000000,0,0000
63,0,0,10100100,10100010,10100011,0,0010
64,0,0,00000000,00000000,00000000,0,0000
65,1,0,01110101,00000110,01110100,0,0001
66,0,0,00000000,00000000,00000000,0,0000
67,1,0,10000101,00000110,10000100,0,0001
68,1,0,10010101,00000110,10010100,0,0001
69,0,0,00000000,00000000,00000000,0,0000
70,1,0,10100101,00000110,10100100,0,0001
71,0,0,00001001,00000111,00000110,0,1011
72,0,0,00000000,00000000,00000000,0,0000
73,0,0,00000000,00000000,00000000,0,0000
74,0,0,00011001,00010111,00010110,0,1011
75,0,0,00000000,00000000,00000000,0,0000
76,0,0,00000000,00000000,00000000,0,0000
77,0,0,00000000,00000000,00000000,0,0000
78,0,0,00001010,00001000,00001001,0,1011
79,0,0,00000000,00000000,00000000,0,0000
80,0,0,00000000,00000000,00000000,0,0000
81,0,0,00011010,00011000,00011001,0,1011
82,0,0,00000000,00000000,00000000,0,0000
83,0,0,00000000,00000000,00000000,0,0000
84,0,0,00000000,00000000,00000000,0,0000
85,1,0,00001011,00000110,00001010,0,1111
86,0,0,00000000,00000000,00000000,0,0000
87,0,0,00000000,00000000,00000000,0,0000
88,1,0,00011011,00000110,00011010,0,1111
89,0,0,00000000,00000000,00000000,0,0000
90,0,0,00000000,00000000,00000000,0,0000
91,0,0,00101001,00100111,00100110,0,1011
92,1,0,00001100,00000100,00001011,0,0010
93,0,0,00000000,00000000,00000000,0,0000
94,0,0,00111001,00110111,00110110,0,1011
95,1,0,00011100,00000100,00011011,0,0010
96,0,0,00000000,00000000,00000000,0,0000
97,0,0,01001001,01000111,01000110,0,1011
98,0,0,00101010,00101000,00101001,0,1011
99,0,0,00000000,00000000,00000000,0,0000
100,0,0,00000000,00000000,00000000,0,0000
101,0,0,00111010,00111000,00111001,0,1011
102,0,0,00000000,00000000,00000000,0,0000
103,0,0,00000000,00000000,00000000,0,0000
104,0,0,00000000,00000000,00000000,0,0000
105,1,0,00101011,00000110,00101010,0,1111
106,0,0,00000000,00000000,00000000,0,0000
107,0,0,00000000,00000000,00000000,0,0000
108,1,0,00111011,00000110,00111010,0,1111
109,0,0,00000000,00000000,00000000,0,0000
110,0,0,00000000,00000000,00000000,0,0000
111,0,0,00000000,00000000,00000000,0,0000
112,1,0,00101100,00000100,00101011,0,0010
