cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
0,0x00000000003,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000c00000000000000000000000000000000000
1,0x00000001007,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000401c00000000000000000000000000000000000
2,0x00000002023,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000808c00000000000000000000000000000000000
3,0x00000003027,0x00000000000,0x02000000c,0x00000000,0x00000000,0,0,0000000c09c00000000000800000300000000000000000
4,0x00000004043,0x00000000000,0x02020002c,0x00000000,0x00000000,0,0,0000001010c00000000000808000b00000000000000000
5,0x00000005047,0x00000000000,0x020e0010c,0x00000000,0x00000000,0,0,0000001411c00000000000838004300000000000000000
6,0x00000006063,0x00000000000,0x02100012c,0x00000000,0x00000000,0,0,0000001818c00000000000840004b00000000000000000
7,0x00000007067,0x00000000000,0x021c0020c,0x00000000,0x00000000,0,0,0000001c19c00000000000870008300000000000000000
8,0x00000008083,0x00000000000,0x021e0022c,0x00000000,0x00000000,0,0,0000002020c00000000000878008b00000000000000000
9,0x00000009087,0x00000000000,0x022a0030c,0x00000000,0x00000000,0,0,0000002421c000000000008a800c300000000000000000
10,0x0000000a0a3,0x00000000000,0x022c0032c,0x00000000,0x00000000,0,0,0000002828c000000000008b000cb00000000000000000
11,0x0000000b0a7,0x00000000000,0x02380040c,0x00402004,0x00000000,0,0,0000002c29c000000000008e0010300201002000000000
12,0x0000000c0c3,0x00000000000,0x023a0042c,0x00000000,0x00000000,0,0,0000003030c000000000008e8010b00000000000000000
13,0x0000000d0c7,0x00000000000,0x02460050c,0x012100e4,0x00000000,0,0,0000003431c00000000000918014300908072000000000
14,0x0000000e0e3,0x00000000000,0x02480052c,0x00000000,0x00000000,0,0,0000003838c00000000000920014b00000000000000000
15,0x0000000f0e7,0x00000000000,0x02540060c,0x0201e1c4,0x00000000,0,0,0000003c39c0000000000095001830100f0e2000000000
16,0x00000010103,0x00000000000,0x02560062c,0x00000000,0x00000000,0,0,0000004040c00000000000958018b00000000000000000
17,0x00000011107,0x00000000000,0x02620070c,0x02e2c2a4,0x00000000,0,0,0000004441c0000000000098801c301716152000000000
18,0x00000012123,0x00000000000,0x040404003,0x00000000,0x00000000,0,0,0000004848c000000000010101000c0000000000000000
19,0x00000013127,0x00000000000,0x040804023,0x03c3a384,0x00000000,0,0,0000004c49c000000000010201008c1e1d1c2000000000
20,0x00000014143,0x00000000000,0x041412103,0x00000000,0x00000000,0,0,0000005050c000000000010504840c0000000000000000
21,0x00000015147,0x00000000000,0x041812123,0x04a48464,0x00000000,0,0,0000005451c000000000010604848c2524232000000000
22,0x00000016163,0x00000000000,0x042420203,0x00000000,0x00000000,0,0,0000005858c000000000010908080c0000000000000000
23,0x00000017167,0x00000000000,0x042820223,0x05856544,0x00000000,0,0,0000005c59c000000000010a08088c2c2b2a2000000000
24,0x00000018183,0x00000000000,0x04342e303,0x00000000,0x00000000,0,0,0000006060c000000000010d0b8c0c0000000000000000
25,0x00000019187,0x00000000000,0x04382e323,0x00000000,0x40605041,0,0,0000006461c000000000010e0b8c8c0000000406050410
26,0x0000001a1a3,0x00000000000,0x04443c403,0x00000000,0x00000000,0,0,0000006868c00000000001110f100c0000000000000000
27,0x0000001b1a7,0x00000000000,0x04483c423,0x00000000,0x00000000,0,0,0000006c69c00000000001120f108c0000000000000000
28,0x0000001c1c3,0x00000000000,0x04544a503,0x00000000,0x00000000,0,0,0000007070c000000000011512940c0000000000000000
29,0x0000001d1c7,0x00000000000,0x04584a523,0x00000000,0x40a09041,0,0,0000007471c000000000011612948c000000040a090410
30,0x0000001e1e3,0x00000000000,0x046458603,0x00000000,0x00000000,0,0,0000007878c000000000011916180c0000000000000000
31,0x0000001f1e7,0x00000000000,0x046858623,0x00000000,0x00000000,0,0,0000007c79c000000000011a16188c0000000000000000
32,0x00000020203,0x00000000000,0x02640072c,0x00000000,0x00000000,0,0,0000008080c0000000000099001cb00000000000000000
33,0x00000021207,0x00000000000,0x02700080c,0x00000000,0x41615041,0,0,0000008481c000000000009c0020300000000416150410
34,0x00000022223,0x00000000000,0x02720082c,0x00000000,0x00000000,0,0,0000008888c000000000009c8020b00000000000000000
35,0x00000023227,0x00000000000,0x027e0090c,0x00000000,0x00000000,0,0,0000008c89c000000000009f8024300000000000000000
36,0x00000024243,0x00000000000,0x02800092c,0x00000000,0x00000000,0,0,0000009090c00000000000a00024b00000000000000000
37,0x00000025247,0x00000000000,0x028e00a2c,0x00000000,0x41a19041,0,0,0000009491c00000000000a38028b0000000041a190410
38,0x00000026263,0x00000000000,0x028c00a0c,0x00000000,0x00000000,0,0,0000009898c00000000000a30028300000000000000000
39,0x00000027267,0x00000000000,0x029a00b0c,0x06664624,0x00000000,0,0,0000009c99c00000000000a6802c303332312000000000
40,0x00000028283,0x00000000000,0x029c00b2c,0x00000000,0x00000000,0,0,000000a0a0c00000000000a7002cb00000000000000000
41,0x00000029287,0x00000000000,0x02a800c0c,0x07472704,0x42625041,0,0,000000a4a1c00000000000aa0030303a39382426250410
42,0x0000002a2a3,0x00000000000,0x02aa00c2c,0x00000000,0x00000000,0,0,000000a8a8c00000000000aa8030b00000000000000000
43,0x0000002b2a7,0x00000000000,0x02b600d0c,0x082807e4,0x00000000,0,0,000000aca9c00000000000ad80343041403f2000000000
44,0x0000002c2c3,0x00000000000,0x02b800d2c,0x00000000,0x00000000,0,0,000000b0b0c00000000000ae0034b00000000000000000
45,0x0000002d2c7,0x00000000000,0x02c600e2c,0x0908e8c4,0x42a29041,0,0,000000b4b1c00000000000b18038b0484746242a290410
46,0x0000002e2e3,0x00000000000,0x02c400e0c,0x00000000,0x00000000,0,0,000000b8b8c00000000000b10038300000000000000000
47,0x0000002f2e7,0x00000000000,0x02d200f0c,0x09e9c9a4,0x00000000,0,0,000000bcb9c00000000000b4803c304f4e4d2000000000
