t,half,imm,connect,dst,src1,src0,mask,optype
0,00,0,00,00000000,00000000,00000000,0,0000
1,00,0,00,00000000,00000000,00000000,0,0000
2,00,0,00,00000000,00000000,00000000,0,0000
3,00,0,01,00000000,00000000,00000000,0,1100
4,00,0,01,00000001,00000000,00000001,0,1100
5,00,0,01,00000111,00000000,00001000,0,1100
6,00,0,01,00001000,00000000,00001001,0,1100
7,00,0,01,00001110,00000000,00010000,0,1100
8,00,0,01,00001111,00000000,00010001,0,1100
9,00,0,01,00010101,00000000,00011000,0,1100
10,00,0,01,00010110,00000000,00011001,0,1100
11,00,0,01,00011100,00000000,00100000,0,1100
12,00,0,01,00011101,00000000,00100001,0,1100
13,00,0,01,00100011,00000000,00101000,0,1100
14,00,0,01,00100100,00000000,00101001,0,1100
15,00,0,01,00101010,00000000,00110000,0,1100
16,00,0,01,00101011,00000000,00110001,0,1100
17,00,0,01,00110001,00000000,00111000,0,1100
18,00,0,10,00000010,00000010,00000000,0,0011
19,00,0,10,00000100,00000010,00000001,0,0011
20,00,0,10,00001010,00001001,00001000,0,0011
21,00,0,10,00001100,00001001,00001001,0,0011
22,00,0,10,00010010,00010000,00010000,0,0011
23,00,0,10,00010100,00010000,00010001,0,0011
24,00,0,10,00011010,00010111,00011000,0,0011
25,00,0,10,00011100,00010111,00011001,0,0011
26,00,0,10,00100010,00011110,00100000,0,0011
27,00,0,10,00100100,00011110,00100001,0,0011
28,00,0,10,00101010,00100101,00101000,0,0011
29,00,0,10,00101100,00100101,00101001,0,0011
30,00,0,10,00110010,00101100,00110000,0,0011
31,00,0,10,00110100,00101100,00110001,0,0011
32,00,0,01,00110010,00000000,00111001,0,1100
33,00,0,01,00111001,00000000,01000001,0,1100
34,00,0,01,00111000,00000000,01000000,0,1100
35,00,0,01,00111111,00000000,01001000,0,1100
36,00,0,01,01000000,00000000,01001001,0,1100
37,00,0,01,01000110,00000000,01010000,0,1100
38,00,0,01,01000111,00000000,01010001,0,1100
39,00,0,01,01001101,00000000,01011000,0,1100
40,00,0,01,01001110,00000000,01011001,0,1100
41,00,0,01,01010100,00000000,01100000,0,1100
42,00,0,01,01010101,00000000,01100001,0,1100
43,00,0,01,01011011,00000000,01101000,0,1100
44,00,0,01,01011100,00000000,01101001,0,1100
45,00,0,01,01100010,00000000,01110000,0,1100
46,01,0,10,00111010,00110011,00111000,0,0011
47,00,0,01,01101001,00000000,01111000,0,1100
48,01,0,10,00111100,00110011,00111001,0,0011
49,00,0,01,01100011,00000000,01110001,0,1100
50,01,0,10,01000010,00111010,01000000,0,0011
51,00,0,01,01101010,00000000,01111001,0,1100
52,01,0,10,01000100,00111010,01000001,0,0011
53,00,0,01,01110000,00000000,10000000,0,1100
54,01,0,10,01001010,01000001,01001000,0,0011
55,00,0,01,01110001,00000000,10000001,0,1100
56,01,0,10,01001100,01000001,01001001,0,0011
57,00,0,01,00000011,00000000,00000011,0,1011
58,01,0,10,01010010,01001000,01010000,0,0011
59,00,0,01,01110111,00000000,10001000,0,1100
60,01,0,10,01010100,01001000,01010001,0,0011
61,00,0,01,01111000,00000000,10001001,0,1100
62,01,0,10,01011010,01001111,01011000,0,0011
63,00,0,01,01111110,00000000,10010000,0,1100
64,01,0,10,01011100,01001111,01011001,0,0011
65,00,0,01,00000100,00000000,00000101,0,1011
66,01,0,10,01100010,01010110,01100000,0,0011
67,00,0,01,01111111,00000000,10010001,0,1100
68,01,0,10,01100100,01010110,01100001,0,0011
69,00,0,01,10000101,00000000,10011000,0,1100
70,01,0,10,01101010,01011101,01101000,0,0011
71,00,0,01,10000110,00000000,10011001,0,1100
72,01,0,10,01101100,01011101,01101001,0,0011
73,00,0,01,00001010,00000000,00001011,0,1011
74,01,0,10,01110010,01100100,01110000,0,0011
75,00,0,01,10001100,00000000,10100000,0,1100
76,01,0,10,01110100,01100100,01110001,0,0011
77,00,0,01,10010011,00000000,10101000,0,1100
78,01,0,10,01111010,01101011,01111000,0,0011
79,00,0,01,10001101,00000000,10100001,0,1100
80,01,0,10,01111100,01101011,01111001,0,0011
81,00,0,01,00001011,00000000,00001101,0,1011
82,01,0,10,10000010,01110010,10000000,0,0011
